id, ap_id, mac, bytes_used, avg_signal_quality, ssid, vlan, radio_mode, ap_radio_index, ap_radio_description, connect_time, disconnect_time, ht_mode, security_mode, authen_subtype, cipher, authen_type, interface_index, ap_folder_id, is_guest_user, from_snmp_trap, aruba_retry_rate, aruba_low_speed_rate, aruba_non_unicast_rate, aruba_fragmentation_rate, aruba_retry_error_rate, aruba_receive_error_rate, forward_mode, aruba_device_type, tunneled_device_id, average_bandwidth, avg_goodput, avg_speed, search_mac, lan_ips, lan_hostnames, from_snmp_poll, from_amon, bytes_in, bytes_out, avg_signal
33151,200,98:5F:D3:37:58:F0,8658000,38,tru,7,a,2,802.11ac,1496275578,1496281613,0,\N,PAP,\N,CP (PAP),\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,12152,0,0,985FD33758F0,10.20.135.6,-,1,0,5478300,3179700,-57.20674811
33152,200,70:48:0F:6B:D4:3C,281505600,37,eduroam,12,a,2,802.11ac,1496274974,1496281613,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,357467,0,0,70480F6BD43C,10.50.28.188,-,1,0,272100300,9405300,-58.88974359
33153,200,B8:E8:56:27:B1:56,7094400,44,eduroam,12,a,2,802.11ac,1496279809,1496281613,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,OS X,\N,47296,0,0,B8E85627B156,10.50.212.70,-,1,0,5842500,1251900,-51.39408602
33154,200,D8:96:95:0C:31:D6,0,36,eduroam,12,g,1,802.11bgn,1496281312,1496281613,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,D896950C31D6,10.50.207.127,-,1,0,0,0,-59.46666667
33155,211,00:6F:64:C3:3C:37,0,\N,tru,7,g,1,802.11bgn,1496281613,1496281914,0,\N,PAP,\N,MAC (PAP),\N,7,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,006F64C33C37,10.20.167.186,-,1,0,0,0,\N
33156,200,08:D4:2B:38:FF:03,922200,38,eduroam,12,g,1,802.11bgn,1496275276,1496281914,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,1171,0,0,08D42B38FF03,10.50.195.16,-,1,0,756300,165900,-57.88005402
33157,200,14:1A:A3:B5:8C:27,109800,40,eduroam,12,g,1,802.11bgn,1496275578,1496281914,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,146,0,0,141AA3B58C27,10.50.62.74,-,1,0,61500,48300,-55.07519747
33158,200,B8:4F:D5:3D:41:38,394800,42,tru,7,g,1,802.11bgn,1496274974,1496281914,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,,\N,479,0,0,B84FD53D4138,10.20.169.67,-,1,0,280500,114300,-53.12698413
33159,205,08:D4:2B:38:FF:03,0,2,eduroam,12,g,1,802.11bgn,1496281914,1496282214,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,\N,\N,\N,\N,\N,\N,0,Android,\N,0,0,0,08D42B38FF03,10.50.195.16,-,1,0,0,0,-93.26666667
33160,200,54:8C:A0:A4:2B:E9,13855500,43,eduroam,12,a,2,802.11ac,1496275578,1496282214,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,17,0,0,0,0,Win 10,\N,17594,0,0,548CA0A42BE9,10.50.70.187,-,1,0,10891800,2963700,-52.17888386
