id, mac, first_ap_id, last_ap_id, ssid, vlan, radio_mode,ap_radio_index, ap_radio_description, ht_mode,first_start, first_stop, last_start, last_stop,interface_index, first_ap_folder_id, last_ap_folder_id, rsta_type, rsta_type_user_set, forward_mode, device_os,device_os_detail, mdm_server_id, device_id,from_snmp_trap, tunneled_device_id, user_agent_string,aruba_device_type, device_classification_source,vendor, authen_type, authen_state_from_mib, login_time, logout_time, device_type,device_manufacturer, device_model, notes,serial_number, phone_number, network_chipset,network_driver,eap_supplicant, asset_id,asset_group,asset_category, service_start_string, service_end_string, client_name_enabled, serial_number_enabled,phone_number_enabled,network_chipset_enabled,network_driver_enabled, eap_supplicant_enabled, asset_id_enabled, asset_group_enabled, asset_category_enabled, service_start_st ring_enabled, service_end_string_enabled, device_type_enabled, device_manufacturer_enabled, device_model_enabled, device_os_enabled, device_os_detail_enabled, self_ap_id, search_mac, is_vip, device_classification_source_version
686,F0:27:65:DA:ED:AC,198,205,eduroam,12,g,1,802.11bgn,0,1493244984,1493245284,1493245284,1493246185,\N,4,4,1,0,0,Android,Linux; U; Android 5.0; SM-N900W8 Build/LRX21V,\N,\N,0,\N,Dalvik/2.1.0 (Linux; U; Android 5.0; SM-N900W8 Build/LRX21V),Android,2,Murata Manufacturing Co.\, Ltd.,\N,0,1493245284,1493246185,Android,,SM-N900W8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,F02765DAEDAC,0
1280,48:4B:AA:66:93:4B,189,189,eduroam,12,a,2,802.11ac,0,1494536886,1494537186,1494536886,1494537186,\N,4,4,1,0,0,,,\N,\N,0,\N,\N,,\N,Unknown,\N,0,\N,\N,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,484BAA66934B,0,\N
673,E8:50:8B:8D:F5:B9,205,205,eduroam,12,g,1,802.11bgn,0,1493235675,1493235976,1493235675,1493235976,\N,4,4,1,0,0,,,\N,\N,0,\N,\N,,\N,Samsung Electro Mechanics co.\, LTD.,\N,0,1493235676,1493235976,Samsung Electro Mechanics co.\, LTD.,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,E8508B8DF5B9
669,A4:3D:78:0A:F6:32,205,205,tru,7,g,1,802.11bgn,0,1493234775,1493236276,1493234775,1493236276,\N,4,4,1,0,0,,,\N,\N,0,\N,\N,,\N,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.\,LTD,\N,0,\N,\N,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.\,LTD,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,A43D780AF632
685,B8:53:AC:A2:AC:E0,205,205,tru,7,g,1,802.11bgn,0,1493244984,1493245884,1493244984,1493245884,\N,4,4,1,0,0,,,\N,\N,0,\N,\N,,\N,Unknown,\N,0,\N,\N,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,B853ACA2ACE0,0,\N
688,90:E7:C4:DF:C6:B7,205,205,tru,7,g,1,802.11bgn,0,1493245884,1493246785,1493245884,1493246785,\N,4,4,1,0,0,,,\N,\N,0,\N,\N,,\N,HTC Corporation,\N,0,\N,\N,HTC Corporation,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,90E7C4DFC6B7,0,\N
679,AC:37:43:A6:08:3D,205,205,eduroam,12,a,2,802.11ac,0,1493241680,1493242581,1496176255,1496177758,\N,4,4,1,0,0,Linux,X11; Linux x86_64,\N,\N,0,\N,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML\, like Gecko) Chrome/52.0.2743.82 Safari/537.36,Linux,2,Unknown,\N,0,1496176258,1496177761,Linux,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,AC3743A6083D,0
1321,DC:1A:C5:65:30:39,205,205,tru,7,g,1,802.11bgn,0,1494630647,1494631849,1496184670,1496185572,\N,4,4,1,0,0,Android,Linux; U; Android 5.0.2; vivo Y51L Build/LRX22G,\N,\N,0,\N,Dalvik/2.1.0 (Linux; U; Android 5.0.2; vivo Y51L Build/LRX22G),Android,2,vivo Mobile Communication Co.\, Ltd.,\N,0,\N,\N,Android,,vivo Y51L,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,DC1AC5653039,0
682,A0:CB:FD:DF:BD:04,205,205,tru,7,g,1,802.11bgn,0,1493243782,1493244683,1493243782,1493244683,\N,4,4,1,0,0,,,\N,\N,0,\N,\N,,\N,Samsung Electronics Co.\,Ltd,\N,0,\N,\N,Samsung Electronics Co.\,Ltd,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,A0CBFDDFBD04
1041,48:3B:38:DB:86:94,205,205,tru,7,g,1,802.11bgn,0,1493923533,1493925035,1493923533,1493925035,\N,4,4,1,0,0,,,\N,\N,0,\N,\N,,\N,Unknown,\N,0,\N,\N,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,483B38DB8694,0,\N
