id, ap_id, mac, ap_radio_index, ap_radio_description, ssid, vlan, radio_mode, connect_time, ht_mode, security_mode, authen_subtype, cipher, interface_index, ap_folder_id, from_snmp_trap, authen_type_meaningful, aruba_retry_rate, aruba_low_speed_rate, aruba_non_unicast_rate, aruba_fragmentation_rate, aruba_retry_error_rate, aruba_receive_error_rate, forward_mode, tunneled_device_id, search_mac, from_snmp_poll, dmz_auth_set, from_amon, controller_id
33435,194,88:66:A5:49:E2:50,1,802.11bgn,eduroam,12,g,1496332438,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,8866A549E250,1,0,0,187
33403,197,F0:24:75:7D:9E:2B,2,802.11ac,eduroam,12,a,1496330934,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,F024757D9E2B,1,0,0,187
33407,238,90:48:9A:10:AF:09,1,802.11bgn,tru,7,g,1496331235,0,\N,PAP,\N,\N,7,0,1,0,0,0,0,0,0,0,\N,90489A10AF09,1,0,0,187
33571,191,08:74:02:67:AC:91,2,802.11ac,eduroam,12,a,1496336353,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,08740267AC91,1,0,0,187
33570,191,00:B3:62:81:94:F7,2,802.11ac,eduroam,12,a,1496336353,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,33,0,0,0,0,\N,00B3628194F7,1,0,0,187
33354,196,F4:09:D8:90:AB:00,2,802.11ac,eduroam,12,a,1496329727,0,\N,EAP-PEAP,\N,\N,1,0,1,0,0,0,0,0,0,0,\N,F409D890AB00,1,0,0,187
33413,199,0C:30:21:15:0D:EF,1,802.11bgn,eduroam,12,g,1496331235,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,0C3021150DEF,1,0,0,187
33575,196,F4:09:D8:B1:03:97,1,802.11bgn,eduroam,12,g,1496336353,0,\N,EAP-PEAP,\N,\N,1,0,1,0,0,0,0,0,0,0,\N,F409D8B10397,1,0,0,187
33576,196,BC:F5:AC:F7:15:34,2,802.11ac,tru,7,a,1496336353,0,\N,PAP,\N,\N,1,0,1,0,0,0,0,0,0,0,\N,BCF5ACF71534,1,0,0,187
33578,200,DC:0B:34:83:F0:B8,2,802.11ac,eduroam,12,a,1496336353,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,DC0B3483F0B8,1,0,0,187
33597,191,90:60:F1:52:AD:6D,2,802.11ac,eduroam,12,a,1496336954,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,9060F152AD6D,1,0,0,187
33587,189,CC:20:E8:3F:5A:D1,2,802.11ac,eduroam,12,a,1496336653,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,CC20E83F5AD1,1,0,0,187
33586,199,20:2D:07:09:C9:02,1,802.11bgn,tru,7,g,1496336653,0,\N,PAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,202D0709C902,1,0,0,187
33590,203,38:71:DE:6D:D5:6C,1,802.11bgn,eduroam,12,g,1496336954,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,3871DE6DD56C,1,0,0,187
33365,194,D0:25:98:69:34:C2,2,802.11ac,eduroam,12,a,1496330030,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,D025986934C2,1,0,0,187
33367,191,2C:0E:3D:E4:70:42,2,802.11ac,eduroam,12,a,1496330030,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,2C0E3DE47042,1,0,0,187
33368,191,C0:F2:FB:77:91:C1,2,802.11ac,eduroam,12,a,1496330030,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,C0F2FB7791C1,1,0,0,187
33369,199,90:60:F1:11:48:4F,2,802.11ac,eduroam,12,a,1496330030,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,9060F111484F,1,0,0,187
33594,205,60:45:CB:20:09:BE,2,802.11ac,eduroam,12,a,1496336954,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,6045CB2009BE,1,0,0,187
33467,201,98:9E:63:57:6A:2F,2,802.11ac,eduroam,12,a,1496333342,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,989E63576A2F,1,0,0,187
33417,194,9C:F4:8E:EC:EF:5C,2,802.11ac,eduroam,12,a,1496331536,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,9CF48EECEF5C,1,0,0,187
33420,190,2C:0E:3D:AA:0E:03,2,802.11ac,tru,7,a,1496331536,0,\N,PAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,2C0E3DAA0E03,1,0,0,187
33415,193,F4:0E:22:9D:4D:83,1,802.11bgn,eduroam,12,g,1496331536,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,F40E229D4D83,1,0,0,187
33508,190,70:48:0F:D3:35:37,2,802.11ac,eduroam,12,a,1496334246,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,70480FD33537,1,0,0,187
33502,201,58:7F:57:35:AF:D8,2,802.11ac,eduroam,12,a,1496334246,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,587F5735AFD8,1,0,0,187
33591,209,88:07:4B:CD:53:1B,2,802.11ac,eduroam,12,a,1496336954,0,\N,EAP-PEAP,\N,\N,7,0,1,0,0,0,0,0,0,0,\N,88074BCD531B,1,0,0,187
33595,194,90:60:F1:0F:E3:50,2,802.11ac,eduroam,12,a,1496336954,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,9060F10FE350,1,0,0,187
33538,190,D8:6C:02:F1:9E:AD,1,802.11bgn,tru,7,g,1496335149,0,\N,\N,\N,\N,4,0,0,0,0,0,0,0,0,0,\N,D86C02F19EAD,1,0,0,187
33475,199,F0:79:60:3B:05:FC,2,802.11ac,eduroam,12,a,1496333342,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,F079603B05FC,1,0,0,187
33543,192,A4:E4:B8:AD:DB:CC,2,802.11ac,eduroam,12,a,1496335449,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,A4E4B8ADDBCC,1,0,0,187

